gene,_genewise_converged,_MAP_converged,_LFC_converged,dispersions,model_converged
ARFGAP1,True,True,True,0.1175372650335358,True
ARFGAP2,True,True,True,0.10845001202583095,True
ARFGAP3,True,True,True,0.12713935020882658,True
ARFGEF1,True,True,True,0.12843990007824363,True
ARFGEF2,True,True,True,0.1009930919999336,True
ARFIP1,True,True,True,0.14043436141770785,True
ARFIP2,True,True,True,0.1347883199553951,True
ARFRP1,True,True,True,0.13171429547504523,True
ARG2,True,True,True,0.24712531338002922,True
ARGLU1,True,True,True,0.13082188303591427,True
ARHGAP1,True,True,True,0.11655834030627968,True
ARHGAP10,True,True,True,0.12630839801488936,True
ARHGAP11A,True,True,True,0.15381402121742455,True
ARHGAP12,True,True,True,0.11949396588041038,True
ARHGAP17,True,True,True,0.12090912136129207,True
ARHGAP18,True,True,True,0.1527930685336263,True
ARHGAP19,True,True,True,0.14085230757634162,True
ARHGAP20,True,True,True,0.18549850534346188,True
ARHGAP21,True,True,True,0.13880712747803076,True
ARHGAP24,True,True,True,0.14364024714629983,True
ARHGAP25,True,True,True,0.17745178418534877,True
ARHGAP26,True,True,True,0.13527390441754913,True
ARHGAP27,False,True,True,0.10652340036329991,False
ARHGAP28,True,True,True,0.2608165956382845,True
ARHGAP29,True,True,True,0.12092179200624947,True
ARHGAP30,True,True,True,0.11459325275469899,True
ARHGAP4,True,True,True,0.17211334627142982,True
ARHGAP5,True,True,True,0.11656480537855696,True
ARHGAP8,True,True,True,0.19160571175933858,True
ARHGAP9,True,True,True,0.2343473042988298,True
ARHGDIB,True,True,True,0.14263011879413803,True
ARHGEF1,True,True,True,0.13785223248066367,True
ARHGEF10,True,True,True,0.11984641481292083,True
ARHGEF10L,True,True,True,0.11893746602414719,True
ARHGEF11,True,True,True,0.10570164661158932,True
ARHGEF12,True,True,True,0.11789066227955972,True
ARHGEF16,True,True,True,0.12345681410506872,True
ARHGEF17,True,True,True,0.13095048713586258,True
ARHGEF18,True,True,True,0.12000996909515575,True
ARHGEF19,True,True,True,0.1440623077687661,True
ARHGEF2,True,True,True,0.14967956833076543,True
ARHGEF3,True,True,True,0.121223473671916,True
ARHGEF5,True,True,True,0.1896069481970168,True
ARHGEF6,True,True,True,0.18942072710208777,True
ARHGEF7,True,True,True,0.12180470364204186,True
ARHGEF9,True,True,True,0.2522114121226281,True
ARID1A,True,True,True,0.10754298050659634,True
ARID1B,True,True,True,0.11535440689934491,True
ARID2,True,True,True,0.12111543896683662,True
ARID3A,True,True,True,0.23685259126656663,True
ARID4A,True,True,True,0.11896940185802883,True
ARID4B,True,True,True,0.12627575141411546,True
ARID5A,True,True,True,0.18071653550334543,True
ARID5B,True,True,True,0.11288594717941164,True
ARIH1,True,True,True,0.11841664556668646,True
ARIH2,True,True,True,0.11992728807091636,True
ARL1,True,True,True,0.16524511547445225,True
ARL10,True,True,True,0.17075058572229723,True
ARL13B,True,True,True,0.17244539906963166,True
ARL15,True,True,True,0.264951829729103,True
ARL16,True,True,True,0.22291483404678863,True
ARL2,True,True,True,0.14840410026366355,True
ARL2BP,True,True,True,0.1309952775379585,True
ARL3,True,True,True,0.15813605920939075,True
ARL4A,True,True,True,0.4699488481422154,True
ARL4C,True,True,True,0.1176177113784305,True
ARL4D,True,True,True,0.13173634164646927,True
ARL5A,True,True,True,0.1274787154273189,True
ARL5B,True,True,True,0.11547005033366925,True
ARL6IP1,True,True,True,0.10641767514373209,True
ARL6IP4,True,True,True,0.1736103619269404,True
ARL6IP5,True,True,True,0.162798051274252,True
ARL8A,True,True,True,0.12772543055115082,True
ARL8B,True,True,True,0.1090659437511425,True
ARMC1,True,True,True,0.15659486142973508,True
ARMC5,True,True,True,0.17910182493158833,True
ARMC6,True,True,True,0.11985028167023169,True
ARMC7,True,True,True,0.20967443703695088,True
ARMC8,True,True,True,0.14130852123216675,True
ARMC9,True,True,True,0.18551731009681677,True
ARMCX1,True,True,True,0.24778090653386967,True
