gene,stat
USP5,2.2516811024393815
RBBP8,2.2511863042251137
MOCS3,2.247629671534045
LRP12,2.24606286097791
ALG3,2.244449991974246
SNORA63,2.244257040412416
SERP1,2.2438310890452144
STON2,2.243109326462716
SLC35A2,2.234688806032786
PDAP1,2.233827191302168
ZNF217,2.233181570600647
RRS1,2.232941463541865
PDK1,2.232289653996395
DNASE2,2.229474912334326
CAMKK1,2.2267205504931735
TBL1X,2.2262994074372306
NEIL3,2.2237712697856358
PTPRF,2.2210258472739617
HIST1H1A,2.2196214020398397
C9orf89,2.2176372718315083
CD9,2.216041083640838
TSR2,2.214685820683723
AXIN1,2.214509466908343
SLC31A1,2.2139713074093
TMEM30B,2.213637526235898
ELF4,2.2132287966784774
ITGA3,2.211330324786666
SMOX,2.2111456093852215
KIF4A,2.2099231802869332
GNB1,2.207984962429451
VAC14,2.2071412018694128
CD276,2.20704851520578
SYT7,2.2040494132944692
TAF6,2.2024720505425766
CCND1,2.1986084712593263
CTPS,2.1943585554225034
PPIL5,2.1942287812072103
SOX15,2.190902584426064
PHKG2,2.190281317147174
UGT1A4,2.189148618939887
AGTRAP,2.1881661709910447
RANBP1,2.18443508897733
UBE2I,2.1841694231609203
EIF2C2,2.1828812608348165
RTKN,2.181941644830698
SNORA65,2.1805729215963114
SLC37A2,2.1783530445541945
HIST1H3H,2.177155693614084
PELP1,2.176777599024163
CHTF18,2.176475900868891
STIL,2.176096958723448
LTBR,2.174880080756102
FEN1,2.1746539661932225
IL28RA,2.173653064027726
IRS1,2.172342261815744
C17orf96,2.1704046263621923
UGT1A8,2.170302739126309
SNORA21,2.1689004019376177
C7orf50,2.1679712358655383
PTK2,2.166655457668487
SSR1,2.1648979440038914
PTPRK,2.161896322399538
CLPTM1L,2.1550966993874896
NUDT21,2.1550781572623614
DCBLD2,2.1549336541372845
PAK6,2.1539431751530356
PRODH,2.1529529854093767
PAK2,2.1513063290251804
RHBDF2,2.1495462073137155
UGT1A3,2.148635850180133
C20orf27,2.1434303969348907
PNKD,2.142187289370292
MAFK,2.141412005394695
LRRC14,2.140700414136712
HIST1H3F,2.1406410547809434
SLC44A1,2.1404035018740957
SDF4,2.13995825777476
PRKRIP1,2.139763479474755
FANCG,2.1387343323527133
SLC35E4,2.1383022336770128
CENPI,2.1381257519550854
UGT1A9,2.1349530496684386
EXOSC6,2.1349196912847894
KLC3,2.1300410178395843
UGT1A5,2.1284957369916633
MED1,2.128456100172206
UGT1A10,2.126984265968071
CRKL,2.12677133405048
PPAT,2.126220624009927
ITGA11,2.12449268206769
PNMA1,2.123043498454543
TMPRSS4,2.1230256834630374
SPINT2,2.1221620614224204
TBC1D24,2.120318568733771
MICALL2,2.1191015750730497
ATP6V1H,2.118842483414326
PIR,2.117876779613362
KIAA0182,2.117094127571299
CFDP1,2.114786265367193
LRP8,2.1131931530164163
KIF3C,2.1130520403663313
GM2A,2.1129385110742107
PLEKHG5,2.112099541442219
GMPS,2.112005705443768
ORAOV1,2.1115095850010497
LSR,2.1095388988782897
DERL1,2.109189327088849
FOXD1,2.1085791717511517
PRICKLE1,2.108223785079838
UGT1A1,2.107217114157958
ST6GALNAC2,2.107010230171281
PLEKHG3,2.1065150182924657
PUF60,2.1044062550638127
HSPA1B,2.100766933998366
GALNT7,2.100409585150962
PSRC1,2.0994702506122622
MMP14,2.099427244225332
MRPL51,2.098486887465088
CHEK2,2.0971227637641805
LEMD3,2.0945820913725637
UGT1A6,2.0929274119740686
PGP,2.0902499770767062
SLC39A7,2.08981468046573
MFSD9,2.088833651477141
CDC45L,2.0875145265672486
PTGFRN,2.087040684839578
YWHAH,2.0843611060795966
GRB7,2.081239116469894
LSM4,2.0811443863985932
NOB1,2.080228422420901
PSMA6,2.079933906590121
SNORA38,2.0787182159022466
OPN3,2.0779978569112707
MYBBP1A,2.075520693054896
ANO1,2.074548417868461
ETV5,2.073066302999997
FBLIM1,2.0725832807877977
CD109,2.0705121558631983
TMEM104,2.0696511575709757
CPA4,2.0686247457133624
PRKCI,2.067739947352396
TMEM184B,2.0662939748038505
SNORA36B,2.0660428433555875
PIGU,2.0648812287091047
CHMP1A,2.0644409143765383
E2F4,2.0638284492433097
YKT6,2.0636825672095562
HIST1H3G,2.0617973664691798
GNAI1,2.0615053005730872
C15orf42,2.0592292732734205
GSS,2.0579639506744343
PLAUR,2.0568180996158314
SNORD44,2.0553087962338377
RPP38,2.0549694618278758
GNB2,2.0546729019068057
YIF1A,2.0518704853145175
TMEM14A,2.0495665116567823
RPS6KA4,2.048683975623016
LOC85390,2.044874640831547
GLOD4,2.043813477501502
ARHGEF5,2.0432588934676565
HDAC1,2.043112757009343
RCOR1,2.0416780465837134
TGS1,2.04062660366108
APOA1BP,2.0406116566750834
ACD,2.0398899169768314
SNORA41,2.039385052662669
PUS1,2.0383310574380715
SCNN1D,2.03815101956488
CENPM,2.0368375928184377
TROAP,2.036094243694031
BAHD1,2.03479091571814
SMYD5,2.0345974634354556
CBFB,2.034247357750094
FTSJ1,2.033198523141602
SLC47A2,2.0329322746179166
COMMD2,2.0326959515432432
TAGLN2,2.0315174252171357
PUS7,2.029351388761181
DPM1,2.0286127317831806
PIGW,2.0274686561500492
ZNHIT1,2.0245520996632895
C1orf201,2.0226995025270553
ZNF74,2.0223131686839104
POLR2J,2.0222203264164618
EPHA4,2.0219869041421696
WDR53,2.021321688041241
PES1,2.018841210402464
C10orf78,2.0181273557354933
KARS,2.0181195585317155
WDSOF1,2.0164811199722057
H2AFZ,2.015758619206905
C1orf226,2.0143905724117146
HES4,2.0137977631791366
ZDHHC18,2.0114096058034803
COX19,2.0098155743057697
TESK1,2.008967018002094
POLQ,2.007556523011253
DLGAP5,2.0075395152439115
SNORA84,2.0071250964336556
CHST3,2.0043578411984444
IER5,2.003881312667057
NUDT15,2.003261152196571
MRPL15,2.0014138623548257
KIFC2,2.000591794755768
TMBIM1,1.9993673359204132
TRIM2,1.997338209014875
SNORD77,1.9959311582801225
OPHN1,1.993195562769712
EIF4A1,1.9927381451701538
CXCR7,1.9912653730098973
MAD2L1,1.9887438696278528
PLSCR3,1.988372698073013
SRPK1,1.98761585681735
HSF4,1.985963307319949
C20orf20,1.9844956975605774
LANCL2,1.981726696235518
MYO1D,1.9812660196848408
STX6,1.9807911043783402
PARL,1.9804715642528938
UMPS,1.9789436355091958
ZNF664,1.9785063356768982
SLC16A3,1.9770723843696103
CCRN4L,1.975978068074046
LLGL1,1.9759150586138774
TK1,1.9728408629321665
MAZ,1.9725074292304312
TMEM87A,1.969531873282355
H3F3B,1.9690319733216342
RAD51AP1,1.967068760317257
TMEM141,1.9652564425334562
ABCC1,1.9650337774631643
HSPA1A,1.963241706945638
GOLT1B,1.96272077964824
DDX27,1.962329950748778
TMEM107,1.9617872206854539
SND1,1.961189857243479
PTGES3,1.9611346470823448
WDR5B,1.9608671292643611
CCNB1,1.9603573413196254
SKAP2,1.958377697396667
ASS1,1.9578284531725112
NCDN,1.9572521278101696
CBX6,1.9563766454018434
SPINT1,1.9563405818339024
ARL6IP1,1.9561280622112984
SRXN1,1.9556051367452536
SLC11A1,1.9551420638510553
NUP93,1.955001020531865
SCARB1,1.9531914655499385
LAD1,1.9523628493043246
NACC1,1.9522748453516272
PRC1,1.9520080070405417
PTCD1,1.9475824876985905
ENTPD6,1.9470038668487648
C21orf45,1.9451983361041947
PDIA4,1.9450400833258794
CDCA8,1.9444639650022078
KLHL36,1.9434883919992267
CLSPN,1.9431495933478007
TSEN54,1.9418792961176856
LRRC16A,1.940967675882399
NAPRT1,1.9400732290343308
PTPLB,1.9398183468067856
BIRC5,1.939218659873736
C1orf31,1.93832992373687
TGFB1,1.937859448729038
FLAD1,1.9373900123898282
RAB11FIP4,1.9368345139603984
RNF139,1.9353268467002036
CXCL16,1.9345239204628684
FAM59A,1.9326464912864496
TSPAN13,1.9321778569759873
